,0,1,2,3
56,1044,prostate cancer,185.0,Cancer of prostate
57,1045,testicular cancer,187.2,Malignant neoplasm of testis
58,1046,penis cancer,187.1,Malignant neoplasm of unspecified male genital organ
59,1047,lymphoma,200.0,Myeloproliferative disease
60,1047,lymphoma,201.0,Hodgkin's disease
61,1047,lymphoma,202.2,Non-Hodgkins lymphoma
62,1047,lymphoma,202.21,Nodular lymphoma
63,1047,lymphoma,202.24,Large cell lymphoma
64,1047,lymphoma,204.0,Leukemia
65,1047,lymphoma,204.1,Lymphoid leukemia
66,1047,lymphoma,204.11,"Lymphoid leukemia, acute"
67,1047,lymphoma,204.12,"Lymphoid leukemia, chronic"
68,1047,lymphoma,204.2,Myeloid leukemia
69,1047,lymphoma,204.21,"Myeloid leukemia, acute"
70,1047,lymphoma,204.22,"Myeloid leukemia, chronic"
71,1047,lymphoma,204.3,Monocytic leukemia
72,1047,lymphoma,204.4,Multiple myeloma
73,1047,lymphoma,270.35,Macroglobulinemia
74,1048,leukaemia,200.0,Myeloproliferative disease
75,1048,leukaemia,204.0,Leukemia
76,1048,leukaemia,204.1,Lymphoid leukemia
77,1048,leukaemia,204.11,"Lymphoid leukemia, acute"
78,1048,leukaemia,204.12,"Lymphoid leukemia, chronic"
79,1048,leukaemia,204.2,Myeloid leukemia
80,1048,leukaemia,204.21,"Myeloid leukemia, acute"
81,1048,leukaemia,204.22,"Myeloid leukemia, chronic"
82,1048,leukaemia,204.3,Monocytic leukemia
83,1050,multiple myeloma,204.4,Multiple myeloma
84,1051,myelofibrosis or myelodysplasia,200.0,Myeloproliferative disease
85,1051,myelofibrosis or myelodysplasia,270.32,Paraproteinemia
86,1052,hodgkins lymphoma / hodgkins disease,201.0,Hodgkin's disease
87,1053,non-hodgkins lymphoma,202.2,Non-Hodgkins lymphoma
88,1053,non-hodgkins lymphoma,202.21,Nodular lymphoma
89,1053,non-hodgkins lymphoma,202.24,Large cell lymphoma
90,1053,non-hodgkins lymphoma,204.4,Multiple myeloma
91,1055,chronic lymphocytic,204.12,"Lymphoid leukemia, chronic"
92,1056,chronic myeloid,204.22,"Myeloid leukemia, chronic"
93,1058,other haematological malignancy,202.0,"Cancer of other lymphoid, histiocytic tissue"
94,1058,other haematological malignancy,202.2,Non-Hodgkins lymphoma
95,1059,malignant melanoma,172.11,Melanomas of skin
96,1060,non-melanoma skin cancer,172.2,Other non-epithelial cancer of skin
97,1061,basal cell carcinoma,172.2,Other non-epithelial cancer of skin
98,1062,squamous cell carcinoma,172.2,Other non-epithelial cancer of skin
99,1063,primary bone cancer,170.1,Bone cancer
100,1064,mesothelioma,159.4,Malignant neoplasm of retroperitoneum and peritoneum
101,1064,mesothelioma,164.0,Cancer of intrathoracic organs
102,1064,mesothelioma,165.0,Cancer within the respiratory system
103,1064,mesothelioma,195.1,"Malignant neoplasm, other"
104,1065,thyroid cancer,193.0,Thyroid cancer
105,1066,parathyroid cancer,194.0,Cancer of other endocrine glands
106,1067,adrenal cancer,194.0,Cancer of other endocrine glands
107,1068,sarcoma/fibrosarcoma,170.2,Cancer of connective tissue
108,1070,"malignant lymph node, unspecified",198.1,Secondary malignancy of lymph nodes
109,1071,metastatic cancer (unknown primary),195.1,"Malignant neoplasm, other"
110,1072,cin/pre-cancer cells cervix,180.3,Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]
111,1073,rodent ulcer,172.2,Other non-epithelial cancer of skin
112,1074,acute myeloid leukaemia,204.21,"Myeloid leukemia, acute"
113,1075,retinoblastoma,190.0,Cancer of eye
114,1076,kaposis sarcoma,230.0,Kaposi's sarcoma
115,1077,mouth cancer,145.0,Cancer of mouth
116,1077,mouth cancer,145.1,Cancer of lip
117,1077,mouth cancer,145.2,Cancer of tongue
118,1077,mouth cancer,145.3,Cancer of major salivary glands
119,1077,mouth cancer,145.4,Cancer of the gums
120,1077,mouth cancer,145.5,Cancer of the mouth floor
121,1077,mouth cancer,195.1,"Malignant neoplasm, other"
122,1078,tonsil cancer,149.1,Cancer of oropharynx
123,1079,oropharynx / oropharyngeal cancer,149.1,Cancer of oropharynx
124,1080,trachea cancer,165.1,Cancer of bronchus; lung
125,1081,thymus cancer / malignant thymoma,164.0,Cancer of intrathoracic organs
126,1082,heart / mediastinum cancer,164.0,Cancer of intrathoracic organs
127,1082,heart / mediastinum cancer,165.0,Cancer within the respiratory system
128,1084,respiratory / intrathoracic cancer,149.4,Cancer of larynx
129,1084,respiratory / intrathoracic cancer,149.9,Cancer of of nasal cavities
130,1084,respiratory / intrathoracic cancer,164.0,Cancer of intrathoracic organs
131,1084,respiratory / intrathoracic cancer,165.0,Cancer within the respiratory system
132,1084,respiratory / intrathoracic cancer,165.1,Cancer of bronchus; lung
133,1085,bone metastases / bony secondaries,198.6,Secondary malignancy of bone
134,1086,appendix cancer,153.2,Colon cancer
135,1087,fallopian tube cancer,184.1,Malignant neoplasm of ovary and other uterine adnexa
136,1088,malignant insulinoma,157.0,Pancreatic cancer
